Gen	t_n101	t_n102	t_n103	t_n104	t_n105	t_n106	t_n107	t_n108	t_n109	t_n110	t_n111	t_n112	t_n113	t_n114	t_n115	t_n116	t_n117	t_n118	t_n119	t_n120	t_n121	t_n122	t_n123	t_n124	t_n125	t_n126	t_n127	t_n128	t_n129	t_n130	t_n131	t_n132	t_n133	t_n134	t_n135	t_n136	t_n137	t_n138	t_n139	t_n140	t_n141	t_n142	t_n143	t_n144	t_n145	t_n146	t_n147	t_n148	t_n149	t_n150	t_n151	t_n152	t_n153	t_n154	t_n155	t_n156	t_n157	t_n158	t_n159	t_n160	t_n161	t_n162	t_n163	t_n164	t_n165	t_n166	t_n167	t_n168	t_n169	t_n170	t_n171	t_n172	t_n173	t_n174	t_n175	t_n176	t_n177	t_n178	t_n179	t_n180	t_n181	t_n182	t_n183	t_n184	t_n185	t_n186	t_n187	t_n188	t_n189	t_n190	t_n191	t_n192	t_n193	t_n194	t_n195	t_n196	t_n197	t_n198	t_n199	mu	sigma2	lnL
1	1.5241912	1.4763104	1.3450793	1.0614236	0.8229628	0.7519377	0.0476699	0.2089332	0.1731126	0.0574545	0.1862252	0.1231653	0.1706143	0.1521935	0.1242478	0.1032195	0.0879746	0.0483578	0.0924661	0.0603826	0.0429613	0.0577543	0.0453744	0.0228423	0.1447486	0.0382770	0.1853483	0.1708207	0.1148838	0.0863748	0.6710358	0.1640801	0.3066039	0.1731066	0.1051278	0.2843516	0.1610267	0.0733366	0.1019971	0.0215533	0.0808133	1.4405359	1.3176586	0.8048031	0.1620506	1.0731295	1.0383714	0.4617422	0.1034653	0.0673978	0.3850897	0.2010114	0.1050773	0.1749390	0.0544229	0.1404014	0.1009654	0.0695867	0.0967352	0.0352054	0.0814151	0.0315590	0.2055514	0.1584089	0.9405841	0.8178995	0.1871810	0.1023794	0.6424862	0.1032496	0.0757201	0.5042956	0.3641125	0.0626906	0.1109384	0.2562518	0.2282591	0.1370932	0.0740611	0.1716197	0.1069469	0.1136916	1.3116850	1.0906570	0.1874509	0.0363965	1.0034796	0.1680567	0.1414612	0.0611108	0.9584114	0.9158702	0.1216518	0.8745409	0.1301737	0.7429050	0.7414570	0.3563233	0.0825331	0.1022475	1.3019339	-90.711
100	1.5267432	1.4801556	1.3703248	1.1912913	0.8196998	0.6984815	0.0534678	0.2208833	0.1757445	0.0293110	0.1961537	0.0936084	0.1668414	0.1465751	0.1248075	0.1052722	0.0868205	0.0357823	0.0937383	0.0604545	0.0403281	0.0572669	0.0446973	0.0299002	0.1185925	0.0418566	0.1855691	0.1691711	0.1359909	0.0955809	0.8745566	0.1464126	0.3119822	0.1828458	0.1346625	0.2483111	0.1686038	0.1127484	0.1147665	0.0250477	0.0501842	1.4422520	1.3432476	0.8153964	0.1699797	1.0668779	1.0479670	0.4509018	0.1180558	0.0542101	0.3432071	0.1980794	0.1035625	0.1695867	0.0752141	0.1509617	0.0960973	0.0557336	0.0991562	0.0603328	0.0842388	0.0268675	0.2077171	0.1442905	0.9559895	0.7555614	0.1757845	0.0826773	0.6332244	0.1144000	0.0616674	0.5684082	0.4089562	0.0982152	0.1366297	0.2519030	0.2107565	0.1029406	0.0719384	0.1891514	0.0990467	0.1790177	1.3257945	0.9135254	0.1842287	0.0338858	1.0171583	0.1763279	0.1584977	0.0502487	0.9595532	0.9169613	0.1028817	0.8755828	0.0990657	0.7437901	0.7423404	0.4698245	0.1002844	0.1068928	1.2862310	-97.853
200	1.4950302	1.4577067	1.3734850	1.1602262	0.8204700	0.5584139	0.0529763	0.2128978	0.1965200	0.0280485	0.1923363	0.0569308	0.1700822	0.1533357	0.1413805	0.1115712	0.0694804	0.0344145	0.0901660	0.0592780	0.0393477	0.0561524	0.0480819	0.0295209	0.1105857	0.0441677	0.1762627	0.1673156	0.1339152	0.0620111	0.8855885	0.1918802	0.2873018	0.1825660	0.1525692	0.2051883	0.1724190	0.0776280	0.1208718	0.0234372	0.0538405	1.4141840	1.3458366	0.6940877	0.1250936	1.0455676	1.0238656	0.4214329	0.1326639	0.0703676	0.3284804	0.2037647	0.0930204	0.1624961	0.0923278	0.1463339	0.0846868	0.0471117	0.1062152	0.0779545	0.0806891	0.0219148	0.1888607	0.1454687	0.8857922	0.7911949	0.2950016	0.1086285	0.6191800	0.1668500	0.1092865	0.5657374	0.3877134	0.0607234	0.1041978	0.2410807	0.2046791	0.1198732	0.0683765	0.1916539	0.0957466	0.1436643	1.3164566	1.1829848	0.2023336	0.0395678	0.9973631	0.1741519	0.1500981	0.0643482	0.9408790	0.8991161	0.0951113	0.8499412	0.1011593	0.7293150	0.7278935	0.1916965	0.0761165	0.0993844	1.1819097	-99.370
300	1.4015962	1.3607716	1.2667000	0.7754984	0.4788080	0.3351857	0.0689566	0.1989000	0.1778443	0.0384023	0.1826074	0.0542736	0.1620609	0.1432541	0.1319382	0.1080152	0.0791145	0.0327729	0.0852434	0.0553806	0.0349034	0.0524605	0.0319183	0.0234431	0.1320178	0.0516146	0.1646737	0.1543962	0.0954590	0.0494130	0.9194429	0.1470857	0.2704071	0.1820984	0.1119338	0.1963843	0.1646070	0.0880577	0.1208995	0.0285827	0.0613372	1.2983268	1.2352137	0.5567195	0.0629258	0.9699101	0.9459693	0.3835265	0.1297104	0.0452077	0.3062855	0.1903918	0.1411779	0.1602491	0.0700892	0.1373209	0.0818116	0.0439531	0.0866883	0.0647676	0.0642864	0.0180747	0.1966060	0.1326686	0.8521636	0.6567100	0.1655773	0.1131548	0.5731769	0.1323899	0.0750365	0.5027733	0.3060648	0.0666835	0.0916007	0.2810671	0.1875327	0.1133229	0.0850758	0.1654277	0.0612805	0.1194705	1.2080641	1.0313714	0.1841621	0.0673445	0.9317878	0.1408672	0.1181062	0.0532032	0.8790175	0.8400004	0.1026706	0.7724019	0.1514846	0.6813635	0.6800355	0.1855373	0.0941429	0.1072525	1.0619126	-99.529
400	1.4392272	1.3527372	1.2189472	0.7046167	0.4456970	0.3897781	0.0704145	0.2043370	0.1787800	0.0527404	0.1875989	0.0593713	0.1690741	0.1471699	0.1355447	0.1138274	0.0932558	0.0391164	0.0959665	0.0574336	0.0343264	0.0538945	0.0360548	0.0290604	0.1232782	0.0552678	0.1693084	0.1553367	0.1075635	0.0456545	0.8487265	0.1099659	0.2829687	0.2204575	0.1276025	0.1850264	0.1538730	0.0737922	0.1155708	0.0288286	0.0679969	1.3338167	1.2689783	0.6897115	0.1169328	0.9929902	0.9703493	0.5259790	0.1555364	0.0507158	0.3257275	0.1928936	0.1157639	0.1731144	0.0776569	0.1485317	0.0829472	0.0465656	0.0918793	0.0771958	0.0680687	0.0180591	0.1747710	0.1216440	0.8216990	0.7562904	0.1714984	0.1342256	0.6005400	0.1370727	0.0537489	0.5178576	0.2926205	0.0660977	0.0492266	0.2788985	0.1817518	0.1227233	0.0973443	0.1250766	0.0667862	0.0734068	1.2611773	0.9689607	0.1430972	0.0607743	0.9572582	0.1480294	0.1279905	0.0588222	0.9030455	0.8629618	0.0467940	0.7762349	0.1450755	0.6999886	0.6986242	0.1884658	0.1364802	0.0916895	1.0306279	-95.841
500	1.3335217	1.2775156	1.1424961	0.9022425	0.3463761	0.2673009	0.1003001	0.1848238	0.1408380	0.0649559	0.1715376	0.0527636	0.1566563	0.1363609	0.1238461	0.1065101	0.0869905	0.0321211	0.0885516	0.0650769	0.0422581	0.0520781	0.0356392	0.0208963	0.1172002	0.0569080	0.1589962	0.1427869	0.0800579	0.0593138	0.8242727	0.0585663	0.2335891	0.1716098	0.0920832	0.1788323	0.1388294	0.0540871	0.0897165	0.0178293	0.0951775	1.2349279	1.1935652	0.5209426	0.1842609	0.9210199	0.8985743	0.4494736	0.1539675	0.0626377	0.2567130	0.1819757	0.1271530	0.1629192	0.0720376	0.1403267	0.0911178	0.0685188	0.0872034	0.0416481	0.0643813	0.0271320	0.1641826	0.1053816	0.7585056	0.6677647	0.1817440	0.0582235	0.5880402	0.1583338	0.0551260	0.4623263	0.2380790	0.0793618	0.0376956	0.2692683	0.1578271	0.1068739	0.0985693	0.1080867	0.0653267	0.0640649	1.1685489	0.9342859	0.1264050	0.0768734	0.8869514	0.1325001	0.0984955	0.0533978	0.8367204	0.7995807	0.0508584	0.7192235	0.1172051	0.6485772	0.6473131	0.1740569	0.1336144	0.0768173	0.8868879	-93.844
600	1.3586591	1.3015972	1.0988385	0.8447876	0.3608563	0.2826271	0.1064783	0.1883078	0.1638977	0.0719983	0.1806297	0.0782551	0.1548036	0.1390307	0.1276453	0.1099753	0.0902340	0.0318700	0.0985334	0.0680370	0.0399169	0.0563541	0.0338938	0.0137869	0.1164421	0.0592078	0.1856489	0.1203870	0.0936123	0.0627963	0.9353483	0.0667714	0.2249933	0.1687209	0.1003208	0.1868768	0.1355074	0.0452745	0.0645538	0.0201244	0.0813100	1.2582067	1.2113937	0.6388914	0.1287077	0.9344778	0.9110837	0.5329501	0.1646569	0.0501723	0.2587692	0.1854060	0.1645636	0.1736648	0.0761114	0.1567063	0.1108955	0.0651412	0.1064575	0.0421281	0.0588143	0.0251458	0.1513301	0.0929163	0.7650672	0.6757999	0.1212323	0.0437588	0.5563877	0.1836893	0.0517213	0.4213542	0.2527745	0.1201709	0.0242912	0.2903993	0.1862617	0.1115152	0.1011801	0.1172818	0.0914596	0.0626780	1.1630180	0.8164470	0.1756118	0.0736913	0.9036708	0.1498237	0.1114868	0.0402495	0.8495735	0.8220317	0.0634935	0.7450368	0.0920968	0.6608031	0.6595151	0.1662241	0.1350490	0.1044165	1.0552706	-91.866
700	1.5279880	1.4462528	1.0989942	0.8993946	0.4300216	0.2599027	0.1164507	0.2117765	0.1581718	0.0836331	0.2031415	0.0748499	0.1661580	0.1539492	0.1435537	0.1266108	0.0805204	0.0351087	0.1039085	0.0761300	0.0602442	0.0567899	0.0405519	0.0173880	0.1211322	0.0671980	0.2506250	0.1355984	0.1140925	0.0854109	0.7157905	0.0611194	0.2447498	0.1639513	0.0802197	0.1857142	0.1181617	0.0654034	0.0914868	0.0291796	0.0860618	1.4012749	1.3697343	0.5688555	0.1297431	1.0498987	1.0262349	0.4914664	0.1491305	0.0679466	0.2883853	0.2114513	0.1633121	0.1953086	0.0936850	0.1608291	0.1250935	0.0573668	0.1276446	0.0396654	0.0673250	0.0434734	0.1797924	0.1006478	0.8426340	0.7082928	0.1213859	0.0607302	0.5320956	0.1146546	0.0645287	0.4218098	0.2623740	0.1426841	0.0301978	0.2681006	0.2099521	0.1270331	0.0932825	0.1648588	0.1186849	0.0554478	1.2909306	0.9435557	0.1654149	0.0564691	1.0162948	0.2141172	0.1365656	0.0536953	0.9529020	0.9304391	0.0902419	0.8579635	0.1198453	0.7431586	0.7417102	0.1785518	0.1124962	0.0793315	0.8998648	-82.109
800	1.5408798	1.4448795	1.1974459	0.7374605	0.3654696	0.1240532	0.0684097	0.2119203	0.1626420	0.0812071	0.2032794	0.0585643	0.1649934	0.1540538	0.1407598	0.1234050	0.0806370	0.0295718	0.1004409	0.0841245	0.0588817	0.0608011	0.0414556	0.0210233	0.1036686	0.0738223	0.4048907	0.1675320	0.1102184	0.0904228	0.7994315	0.0721755	0.2280766	0.1984899	0.1059472	0.1902556	0.1290993	0.0825567	0.0871045	0.0432320	0.0735721	1.4041232	1.3583441	0.7021807	0.1257871	1.0674805	1.0168421	0.4590974	0.1545360	0.0870098	0.3662656	0.2115949	0.1506652	0.1921903	0.0712079	0.1671726	0.1181636	0.0418425	0.1240153	0.0438480	0.0638630	0.0413310	0.1889156	0.0964570	0.8618820	0.7083098	0.1843548	0.0687327	0.5217777	0.1178864	0.0624299	0.4170432	0.2015661	0.1570591	0.0253270	0.2461143	0.2186746	0.1545997	0.0955671	0.1590374	0.0837311	0.0489347	1.2918073	1.0248435	0.1604076	0.0450416	1.0169849	0.2075728	0.1399627	0.0526737	0.9530924	0.9267635	0.0697223	0.8488756	0.0909650	0.7436633	0.7422139	0.1326864	0.0745777	0.0832425	0.9288563	-95.588
900	1.4261874	1.3677538	1.1999374	0.7115203	0.3678657	0.0772609	0.0589859	0.2006888	0.1371205	0.0777048	0.1896624	0.0595023	0.1539410	0.1452968	0.1257020	0.1115224	0.0850894	0.0389266	0.0960188	0.0798065	0.0559858	0.0661143	0.0322518	0.0220738	0.0919890	0.0565702	0.3251497	0.1748305	0.1514855	0.1158080	0.6747421	0.0539921	0.2140306	0.1945821	0.1191394	0.1650410	0.1195518	0.0838680	0.1024687	0.0410386	0.0643306	1.3191698	1.2671992	0.4034643	0.1162867	0.9959738	0.9158252	0.4010585	0.1998746	0.0882329	0.3175528	0.1974209	0.1571360	0.1793162	0.0720851	0.1508697	0.1119131	0.0618700	0.1282032	0.0350414	0.0928982	0.0370808	0.1977404	0.1033022	0.8312491	0.6903594	0.1906776	0.0632194	0.5169666	0.1719827	0.1285897	0.3286398	0.2280041	0.1251837	0.0184550	0.2352255	0.2094607	0.1303778	0.0695503	0.1717265	0.0691448	0.0603084	1.2052737	0.8344938	0.0800989	0.0442017	0.9586457	0.1745942	0.1239250	0.0539149	0.8968725	0.8704433	0.0621551	0.7933808	0.0862314	0.6938479	0.6924956	0.1388763	0.0990563	0.0864965	0.9516579	-112.982
